datetime,symbol,open,high,low,close,volume
2023-02-13 07:00:00,CME:BTC1!,21820.0,21930.0,21380.0,21710.0,7442.0
2023-02-14 07:00:00,CME:BTC1!,21700.0,22375.0,21575.0,22335.0,8590.0
2023-02-15 07:00:00,CME:BTC1!,22270.0,24415.0,22100.0,24250.0,10953.0
2023-02-16 07:00:00,CME:BTC1!,24285.0,25345.0,24245.0,24640.0,16546.0
2023-02-17 07:00:00,CME:BTC1!,24080.0,25095.0,23430.0,24870.0,12414.0
2023-02-20 07:00:00,CME:BTC1!,24505.0,25335.0,23905.0,24490.0,19029.0
2023-02-22 07:00:00,CME:BTC1!,24395.0,24495.0,23590.0,23800.0,13563.0
2023-02-23 07:00:00,CME:BTC1!,24320.0,24785.0,23815.0,24170.0,6839.0
2023-02-24 07:00:00,CME:BTC1!,24075.0,24365.0,22965.0,23345.0,12099.0
2023-02-27 07:00:00,CME:BTC1!,23565.0,24060.0,23235.0,23445.0,6664.0
2023-02-28 07:00:00,CME:BTC1!,23585.0,23780.0,23150.0,23410.0,4903.0
2023-03-01 07:00:00,CME:BTC1!,23275.0,24165.0,23140.0,23530.0,6343.0
2023-03-02 07:00:00,CME:BTC1!,23645.0,23925.0,23300.0,23590.0,4721.0
2023-03-03 07:00:00,CME:BTC1!,23560.0,23615.0,22020.0,22320.0,12038.0
2023-03-06 07:00:00,CME:BTC1!,22455.0,22665.0,22300.0,22390.0,4800.0
2023-03-07 07:00:00,CME:BTC1!,22455.0,22600.0,21940.0,22070.0,6742.0
2023-03-08 07:00:00,CME:BTC1!,22100.0,22300.0,21880.0,22115.0,6280.0
2023-03-09 07:00:00,CME:BTC1!,21800.0,21850.0,19960.0,20065.0,14035.0
2023-03-10 07:00:00,CME:BTC1!,20300.0,20330.0,19520.0,19965.0,13496.0
2023-03-13 06:00:00,CME:BTC1!,21250.0,24620.0,21110.0,24405.0,28142.0
2023-03-14 06:00:00,CME:BTC1!,24230.0,26615.0,24030.0,25240.0,16272.0
2023-03-15 06:00:00,CME:BTC1!,24655.0,25440.0,24005.0,24490.0,13885.0
2023-03-16 06:00:00,CME:BTC1!,24610.0,25300.0,24250.0,25090.0,6503.0
2023-03-17 06:00:00,CME:BTC1!,25040.0,27155.0,25000.0,27000.0,12866.0
2023-03-20 06:00:00,CME:BTC1!,28095.0,28715.0,27320.0,27945.0,9810.0
2023-03-21 06:00:00,CME:BTC1!,28150.0,28680.0,27555.0,28310.0,6288.0
2023-03-22 06:00:00,CME:BTC1!,28210.0,29045.0,26700.0,26800.0,10975.0
2023-03-23 06:00:00,CME:BTC1!,27200.0,28935.0,27075.0,28550.0,11418.0
2023-03-24 06:00:00,CME:BTC1!,28385.0,28570.0,27480.0,27915.0,5845.0
2023-03-27 06:00:00,CME:BTC1!,27960.0,28240.0,26520.0,26980.0,11152.0
2023-03-28 06:00:00,CME:BTC1!,27175.0,27545.0,26650.0,27455.0,9898.0
2023-03-29 06:00:00,CME:BTC1!,27170.0,28685.0,27170.0,28440.0,9845.0
2023-03-30 06:00:00,CME:BTC1!,28590.0,29415.0,27915.0,28220.0,5849.0
2023-03-31 06:00:00,CME:BTC1!,28335.0,29155.0,27745.0,28740.0,6392.0
2023-04-03 06:00:00,CME:BTC1!,28540.0,28775.0,27595.0,28265.0,7861.0
2023-04-04 06:00:00,CME:BTC1!,27930.0,28650.0,27855.0,28375.0,6996.0
2023-04-05 06:00:00,CME:BTC1!,28390.0,28985.0,27935.0,28385.0,8243.0
2023-04-06 06:00:00,CME:BTC1!,28350.0,28350.0,27765.0,28140.0,5239.0
2023-04-07 06:00:00,CME:BTC1!,28105.0,28215.0,27870.0,28045.0,1295.0
2023-04-10 06:00:00,CME:BTC1!,28505.0,29670.0,28265.0,29420.0,9746.0
2023-04-11 06:00:00,CME:BTC1!,29445.0,30775.0,29435.0,30325.0,8509.0
2023-04-12 06:00:00,CME:BTC1!,30365.0,30710.0,29800.0,29925.0,5859.0
2023-04-13 06:00:00,CME:BTC1!,30035.0,30900.0,29940.0,30530.0,5866.0
2023-04-14 06:00:00,CME:BTC1!,30445.0,31200.0,30065.0,30470.0,7294.0
2023-04-17 06:00:00,CME:BTC1!,30585.0,30585.0,29285.0,29550.0,6895.0
2023-04-18 06:00:00,CME:BTC1!,29555.0,30590.0,29145.0,30325.0,5579.0
2023-04-19 06:00:00,CME:BTC1!,30435.0,30520.0,29010.0,29265.0,7617.0
2023-04-20 06:00:00,CME:BTC1!,29195.0,29255.0,27985.0,28095.0,7611.0
2023-04-21 06:00:00,CME:BTC1!,28240.0,28360.0,27195.0,27310.0,6273.0
2023-04-24 06:00:00,CME:BTC1!,27425.0,28010.0,26980.0,27400.0,7463.0
2023-04-25 06:00:00,CME:BTC1!,27450.0,28070.0,27195.0,27605.0,7926.0
2023-04-26 06:00:00,CME:BTC1!,28320.0,30050.0,27250.0,27900.0,14869.0
2023-04-27 06:00:00,CME:BTC1!,28725.0,30130.0,28415.0,29940.0,6966.0
2023-04-28 06:00:00,CME:BTC1!,29930.0,29930.0,29060.0,29475.0,6022.0
2023-05-01 06:00:00,CME:BTC1!,29615.0,29615.0,27710.0,27915.0,8811.0
2023-05-02 06:00:00,CME:BTC1!,28030.0,29055.0,27955.0,28850.0,7112.0
2023-05-03 06:00:00,CME:BTC1!,28795.0,28955.0,28180.0,28415.0,6486.0
2023-05-04 06:00:00,CME:BTC1!,29005.0,29525.0,28775.0,29015.0,6574.0
2023-05-05 06:00:00,CME:BTC1!,28940.0,29910.0,28860.0,29765.0,8255.0
2023-05-08 06:00:00,CME:BTC1!,29105.0,29110.0,27320.0,27365.0,11968.0
2023-05-09 06:00:00,CME:BTC1!,27595.0,27875.0,27400.0,27770.0,4968.0
2023-05-10 06:00:00,CME:BTC1!,27660.0,28415.0,26745.0,27775.0,11878.0
2023-05-11 06:00:00,CME:BTC1!,27615.0,27810.0,26730.0,26845.0,7435.0
2023-05-12 06:00:00,CME:BTC1!,27010.0,27085.0,25840.0,26485.0,7783.0
2023-05-15 06:00:00,CME:BTC1!,26885.0,27740.0,26770.0,27475.0,5914.0
2023-05-16 06:00:00,CME:BTC1!,27410.0,27420.0,26905.0,26965.0,4243.0
2023-05-17 06:00:00,CME:BTC1!,27055.0,27520.0,26540.0,27430.0,6683.0
2023-05-18 06:00:00,CME:BTC1!,27390.0,27545.0,26375.0,26780.0,7836.0
2023-05-19 06:00:00,CME:BTC1!,26885.0,27235.0,26675.0,26885.0,5175.0
